frequency,power
10710,1.86075e-11
10719,1.85858e-11
10728,1.85642e-11
10737,1.85427e-11
10746,1.85212e-11
10755,1.84998e-11
10764,1.84784e-11
10773,1.84571e-11
10782,1.84359e-11
10791,1.84147e-11
10800,1.83936e-11
10809,1.83725e-11
10818,1.83515e-11
10827,1.83306e-11
10836,1.83097e-11
10845,1.82889e-11
10854,1.82681e-11
10863,1.82474e-11
10872,1.82267e-11
10881,1.82061e-11
10890,1.81856e-11
10899,1.81651e-11
10908,1.81447e-11
10917,1.81243e-11
10926,1.8104e-11
10935,1.80838e-11
10944,1.80636e-11
10953,1.80434e-11
10962,1.80233e-11
10971,1.80033e-11
10980,1.79833e-11
10989,1.79634e-11
10998,1.79436e-11
11007,1.79238e-11
11016,1.7904e-11
11025,1.78843e-11
11034,1.78647e-11
11043,1.78451e-11
11052,1.78255e-11
11061,1.78061e-11
11070,1.77866e-11
11079,1.77673e-11
11088,1.7748e-11
11097,1.77287e-11
11106,1.77095e-11
11115,1.76903e-11
11124,1.76712e-11
11133,1.76522e-11
11142,1.76332e-11
11151,1.76142e-11
11160,1.75953e-11
11169,1.75765e-11
11178,1.75577e-11
11187,1.7539e-11
11196,1.75203e-11
11205,1.75016e-11
11214,1.7483e-11
11223,1.74645e-11
11232,1.7446e-11
11241,1.74276e-11
11250,1.74092e-11
11259,1.73909e-11
11268,1.73726e-11
11277,1.73544e-11
11286,1.73362e-11
11295,1.73181e-11
11304,1.73e-11
11313,1.7282e-11
11322,1.7264e-11
11331,1.72461e-11
11340,1.72282e-11
11349,1.72104e-11
11358,1.71926e-11
11367,1.71748e-11
11376,1.71572e-11
11385,1.71395e-11
11394,1.71219e-11
11403,1.71044e-11
11412,1.70869e-11
11421,1.70695e-11
11430,1.70521e-11
11439,1.70347e-11
11448,1.70174e-11
11457,1.70002e-11
11466,1.6983e-11
11475,1.69658e-11
11484,1.69487e-11
11493,1.69316e-11
11502,1.69146e-11
11511,1.68976e-11
11520,1.68807e-11
