time,signal
0.0243889,-0.0524701
0.0244167,-0.0600995
0.0244444,-0.0684147
0.0244722,-0.0774014
0.0245,-0.0870298
0.0245278,-0.0972539
0.0245556,-0.108011
0.0245833,-0.119219
0.0246111,-0.130781
0.0246389,-0.142582
0.0246667,-0.154491
0.0246944,-0.166365
0.0247222,-0.17805
0.02475,-0.189383
0.0247778,-0.200199
0.0248056,-0.21033
0.0248333,-0.219614
0.0248611,-0.227898
0.0248889,-0.235039
0.0249167,-0.240913
0.0249444,-0.245414
0.0249722,-0.248462
0.025,-0.25
0.0250278,-0.25
0.0250556,-0.248462
0.0250833,-0.245414
0.0251111,-0.240913
0.0251389,-0.235039
0.0251667,-0.227898
0.0251944,-0.219614
0.0252222,-0.21033
0.02525,-0.200199
0.0252778,-0.189383
0.0253056,-0.17805
0.0253333,-0.166365
0.0253611,-0.154491
0.0253889,-0.142582
0.0254167,-0.130781
0.0254444,-0.119219
0.0254722,-0.108011
0.0255,-0.0972539
0.0255278,-0.0870298
0.0255556,-0.0774014
0.0255833,-0.0684147
0.0256111,-0.0600995
0.0256389,-0.0524701
0.0256667,-0.0455274
0.0256944,-0.0392604
0.0257222,-0.0336477
0.02575,-0.02866
0.0257778,-0.0242615
0.0258056,-0.0204117
0.0258333,-0.0170672
0.0258611,-0.0141828
0.0258889,-0.0117134
0.0259167,-0.0096145
0.0259444,-0.00784311
0.0259722,-0.00635873
0.026,-0.00512357
0.0260278,-0.00410294
0.0260556,-0.0032654
0.0260833,-0.00258285
0.0261111,-0.0020304
0.0261389,-0.0015863
0.0261667,-0.00123171
0.0261944,-0.000950495
0.0262222,-0.000728975
0.02625,-0.000555643
0.0262778,-0.000420919
0.0263056,-0.0003169
0.0263333,-0.000237119
0.0263611,-0.000176331
0.0263889,-0.000130321
0.0264167,-9.57231e-05
0.0264444,-6.9878e-05
0.0264722,-5.06973e-05
0.0265,-3.65552e-05
0.0265278,-2.61959e-05
0.0265556,-1.86568e-05
0.0265833,-1.32057e-05
0.0266111,-9.28983e-06
0.0266389,-6.4949e-06
0.0266667,-4.51292e-06
0.0266944,-3.11647e-06
0.0267222,-2.13889e-06
0.02675,-1.45893e-06
0.0267778,-9.8901e-07
0.0268056,-6.66326e-07
0.0268333,-4.46163e-07
0.0268611,-2.96907e-07
0.0268889,-1.96366e-07
0.0269167,-1.29072e-07
0.0269444,-8.43181e-08
0.0269722,-5.4743e-08
0.027,-3.53229e-08
0.0270278,-2.26519e-08
0.0270556,-1.44368e-08
0.0270833,-9.14452e-09
0.0271111,-5.75665e-09
0.0271389,-3.60162e-09
0.0271667,-2.23948e-09
0.0271944,-1.38394e-09
0.0272222,-8.49977e-10
0.02725,-5.1882e-10
0.0272778,-3.14737e-10
0.0273056,-1.89756e-10
0.0273333,-1.13703e-10
0.0273611,-6.77106e-11
0.0273889,-4.00757e-11
0.0274167,-2.35718e-11
0.0274444,-1.3781e-11
0.0274722,-8.00562e-12
0.0275,-4.6238e-12
0.0275278,-2.65235e-12
0.0275556,-1.5139e-12
0.0275833,-8.57037e-13
0.0276111,-4.83946e-13
0.0276389,-2.69895e-13
0.0276667,-1.51323e-13
0.0276944,-8.26839e-14
0.0277222,-4.65739e-14
0.02775,-2.44527e-14
0.0277778,-1.43774e-14
0.0278056,-6.7446e-15
0.0278333,-4.71845e-15
0.0278611,-1.52656e-15
0.0278889,-1.77636e-15
0.0279167,-2.77556e-17
0.0279444,-9.71445e-16
0.0279722,4.44089e-16
0.028,-7.77156e-16
0.0280278,5.55112e-16
0.0280556,-6.66134e-16
0.0280833,5.55112e-16
0.0281111,-6.93889e-16
0.0281389,5.82867e-16
0.0281667,-6.10623e-16
0.0281944,6.10623e-16
0.0282222,-6.10623e-16
0.02825,6.38378e-16
0.0282778,-6.10623e-16
0.0283056,6.38378e-16
0.0283333,-6.10623e-16
0.0283611,5.82867e-16
0.0283889,-6.66134e-16
0.0284167,5.82867e-16
0.0284444,-7.21645e-16
0.0284722,6.10623e-16
0.0285,-6.66134e-16
0.0285278,6.38378e-16
0.0285556,-7.49401e-16
0.0285833,6.66134e-16
0.0286111,-7.49401e-16
0.0286389,7.21645e-16
0.0286667,-7.21645e-16
0.0286944,7.21645e-16
0.0287222,-6.93889e-16
0.02875,7.21645e-16
0.0287778,-6.93889e-16
0.0288056,7.49401e-16
0.0288333,-6.93889e-16
0.0288611,7.77156e-16
0.0288889,-6.93889e-16
0.0289167,7.21645e-16
0.0289444,-6.93889e-16
0.0289722,7.21645e-16
0.029,-6.93889e-16
0.0290278,7.21645e-16
0.0290556,-6.93889e-16
0.0290833,7.49401e-16
0.0291111,-6.93889e-16
0.0291389,7.49401e-16
0.0291667,-6.93889e-16
0.0291944,7.77156e-16
0.0292222,-6.93889e-16
0.02925,7.77156e-16
0.0292778,-6.93889e-16
0.0293056,7.77156e-16
0.0293333,-6.93889e-16
0.0293611,7.77156e-16
0.0293889,-6.93889e-16
0.0294167,7.77156e-16
0.0294444,-6.93889e-16
0.0294722,7.49401e-16
0.0295,-6.93889e-16
0.0295278,7.49401e-16
0.0295556,-6.93889e-16
0.0295833,7.49401e-16
0.0296111,-6.93889e-16
0.0296389,7.49401e-16
0.0296667,-6.93889e-16
0.0296944,7.49401e-16
0.0297222,-6.93889e-16
0.02975,7.49401e-16
0.0297778,-6.93889e-16
0.0298056,7.49401e-16
0.0298333,-6.93889e-16
0.0298611,7.49401e-16
0.0298889,-6.93889e-16
0.0299167,7.49401e-16
0.0299444,-6.93889e-16
0.0299722,7.49401e-16
0.03,-6.93889e-16
0.0300278,7.49401e-16
0.0300556,-6.93889e-16
0.0300833,7.49401e-16
0.0301111,-6.93889e-16
0.0301389,7.49401e-16
0.0301667,-6.93889e-16
0.0301944,7.49401e-16
0.0302222,-6.93889e-16
0.03025,7.49401e-16
0.0302778,-6.93889e-16
0.0303056,8.04912e-16
0.0303333,-6.38378e-16
0.0303611,8.32667e-16
0.0303889,-5.27356e-16
0.0304167,1.05471e-15
0.0304444,-8.32667e-17
0.0304722,1.85962e-15
0.0305,1.41553e-15
0.0305278,4.71845e-15
0.0305556,6.63358e-15
0.0305833,1.42941e-14
0.0306111,2.42861e-14
0.0306389,4.65461e-14
0.0306667,8.25728e-14
0.0306944,1.51296e-13
0.0307222,2.69923e-13
0.03075,4.83974e-13
0.0307778,8.5712e-13
0.0308056,1.51387e-12
0.0308333,2.65241e-12
0.0308611,4.62377e-12
0.0308889,8.00573e-12
0.0309167,1.3781e-11
0.0309444,2.35719e-11
0.0309722,4.00756e-11
0.031,6.77108e-11
0.0310278,1.13703e-10
0.0310556,1.89757e-10
0.0310833,3.14737e-10
0.0311111,5.1882e-10
0.0311389,8.49977e-10
0.0311667,1.38394e-09
0.0311944,2.23948e-09
0.0312222,3.60162e-09
0.03125,5.75665e-09
0.0312778,9.14452e-09
0.0313056,1.44368e-08
0.0313333,2.26519e-08
0.0313611,3.53229e-08
0.0313889,5.4743e-08
0.0314167,8.43181e-08
0.0314444,1.29072e-07
0.0314722,1.96366e-07
0.0315,2.96907e-07
0.0315278,4.46163e-07
0.0315556,6.66326e-07
0.0315833,9.8901e-07
